2025-05-28 15:40:45,PH:744,TURB:1009
2025-05-28 15:40:46,PH:746,TURB:1010
2025-05-28 15:40:47,PH:745,TURB:1008
2025-05-28 15:40:49,PH:747,TURB:1009
2025-05-28 15:40:51,PH:748,TURB:1009
2025-05-28 15:40:53,PH:745,TURB:1009
2025-05-28 15:40:55,PH:747,TURB:1009
2025-05-28 15:40:57,PH:746,TURB:1009
2025-05-28 15:40:59,PH:748,TURB:1008
2025-05-28 15:41:01,PH:748,TURB:1009
2025-05-28 15:41:03,PH:748,TURB:1009
2025-05-28 15:41:05,PH:748,TURB:1009
2025-05-28 15:41:07,PH:749,TURB:1009
2025-05-28 15:41:10,PH:750,TURB:1009
2025-05-28 15:41:11,PH:750,TURB:1008
2025-05-28 15:41:13,PH:751,TURB:1009
2025-05-28 15:41:15,PH:752,TURB:1009
2025-05-28 15:41:17,PH:753,TURB:1009
2025-05-28 15:41:19,PH:753,TURB:1009
2025-05-28 15:41:21,PH:753,TURB:1009
2025-05-28 15:41:23,PH:754,TURB:1009
2025-05-28 15:41:25,PH:754,TURB:1009
2025-05-28 15:41:27,PH:753,TURB:1008
2025-05-28 15:41:29,PH:753,TURB:1009
2025-05-28 15:41:31,PH:753,TURB:1008
2025-05-28 15:41:33,PH:753,TURB:1009
2025-05-28 15:41:35,PH:753,TURB:1009
2025-05-28 15:41:37,PH:754,TURB:1009
2025-05-28 15:41:39,PH:755,TURB:1009
2025-05-28 15:41:41,PH:758,TURB:1008
2025-05-28 15:41:43,PH:762,TURB:1009
2025-05-28 15:41:45,PH:767,TURB:1008
2025-05-28 15:41:47,PH:769,TURB:1009
2025-05-28 15:41:49,PH:771,TURB:1009
2025-05-28 15:41:51,PH:770,TURB:1008
2025-05-28 15:41:53,PH:771,TURB:1008
2025-05-28 15:41:55,PH:767,TURB:1008
2025-05-28 15:41:57,PH:759,TURB:1008
2025-05-28 15:41:59,PH:755,TURB:1009
2025-05-28 15:42:01,PH:749,TURB:1009
2025-05-28 15:42:03,PH:745,TURB:1008
2025-05-28 15:42:05,PH:745,TURB:1009
2025-05-28 15:42:07,PH:746,TURB:1008
2025-05-28 15:42:09,PH:747,TURB:1009
2025-05-28 15:42:11,PH:746,TURB:1008
2025-05-28 15:42:13,PH:747,TURB:1008
